Image_ID,Address,zs_dominant,yolo_dominant,yolo_status,comparable,dominant_agreement,l1_distance
1033 E PALMER ST,1033 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1033 SHACKAMAXON ST,1033 SHACKAMAXON ST,Brick,Brick,success,yes,yes,0.0
1034 CREASE ST,1034 CREASE ST,Brick,Brick,success,yes,yes,0.0
1034 E COLUMBIA AVE,1034 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.333
1034 E EYRE ST,1034 E EYRE ST,Stucco,Stucco,success,yes,yes,0.0
1034 E PALMER ST,1034 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1034 MARLBOROUGH ST,1034 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.333
1034 SHACKAMAXON ST,1034 SHACKAMAXON ST,Brick,Brick,success,yes,yes,0.0
1035 CREASE ST,1035 CREASE ST,Stucco,Stucco,success,yes,yes,0.0
1035 E MONTGOMERY AVE,1035 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1035 E PALMER ST,1035 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1035 MARLBOROUGH ST,1035 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.333
1036 E COLUMBIA AVE,1036 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.0
1036 E PALMER ST,1036 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1036 EARL ST,1036 EARL ST,Brick,Brick,success,yes,yes,0.259
1036-38 CREASE ST,1036-38 CREASE ST,Brick,Brick,success,yes,yes,0.0
1036-38 MARLBOROUGH ST,1036-38 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.426
1037 CREASE ST  C,1037 CREASE ST  C,Stucco,Stucco,success,yes,yes,0.333
1037 E PALMER ST,1037 E PALMER ST,Stucco,Stucco,success,yes,yes,0.0
1037 SHACKAMAXON ST,1037 SHACKAMAXON ST,Brick,Stucco,success,yes,no,1.0
1038 E COLUMBIA AVE,1038 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.43
1038 E PALMER ST,1038 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1038 EARL ST,1038 EARL ST,Brick,Brick,success,yes,yes,0.5
1039 CREASE ST,1039 CREASE ST,Vinyl,Stucco,success,yes,no,1.0
1039-55 FRANKFORD AVE,1039-55 FRANKFORD AVE,Stucco,Unknown,no_detections,no,,
1040 E PALMER ST,1040 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1045-49 SARAH ST,1045-49 SARAH ST,Stucco,Brick,success,yes,no,0.667
1050 E MONTGOMERY AVE,1050 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1070 N FRONT ST,1070 N FRONT ST,Stucco,Stucco,success,yes,yes,0.333
108 E GIRARD AVE,108 E GIRARD AVE,Brick,Brick,success,yes,yes,0.0
108 RICHMOND ST,108 RICHMOND ST,Brick,Stucco,success,yes,no,1.0
108 W GIRARD AVE,108 W GIRARD AVE,Brick,Brick,success,yes,yes,0.0
109 E GIRARD AVE,109 E GIRARD AVE,Brick,Brick,success,yes,yes,0.0
11 E COLUMBIA AVE,11 E COLUMBIA AVE,Stucco,Stucco,success,yes,yes,0.695
11 E OXFORD ST,11 E OXFORD ST,Brick,Brick,success,yes,yes,0.333
11 JEFFERSON ST,11 JEFFERSON ST,Stucco,Metal,success,yes,no,0.407
11 W GIRARD AVE,11 W GIRARD AVE,Metal,Stucco,success,yes,no,1.0
11 W WILDEY ST,11 W WILDEY ST,Brick,Brick,success,yes,yes,0.0
11-15 W THOMPSON ST,11-15 W THOMPSON ST,Brick,Brick,success,yes,yes,0.333
110 E GIRARD AVE,110 E GIRARD AVE,Brick,Brick,success,yes,yes,0.0
110 RICHMOND ST,110 RICHMOND ST,Brick,Stucco,success,yes,no,0.842
1100 E HEWSON ST,1100 E HEWSON ST,Brick,Brick,success,yes,yes,0.333
1100 E MONTGOMERY AVE,1100 E MONTGOMERY AVE,Vinyl,Stucco,success,yes,no,1.0
1100 E PALMER ST,1100 E PALMER ST,Vinyl,Fibercement,success,yes,no,1.0
1100 E WILT ST,1100 E WILT ST,Brick,Brick,success,yes,yes,0.0
1100 MARLBOROUGH ST,1100 MARLBOROUGH ST,Vinyl,Brick,success,yes,no,1.0
1100-04 E BERKS ST,1100-04 E BERKS ST,Stucco,Decorative stone,success,yes,no,1.0
1100-06 N FRONT ST,1100-06 N FRONT ST,Brick,Brick,success,yes,yes,0.0
1100-28 N DELAWARE AVE,1100-28 N DELAWARE AVE,Brick,Brick,success,yes,yes,0.0
1101 CREASE ST,1101 CREASE ST,Brick,Brick,success,yes,yes,0.205
1101 E BERKS ST,1101 E BERKS ST,Brick,Brick,success,yes,yes,0.333
1101 E MONTGOMERY AVE,1101 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1101 E PALMER ST,1101 E PALMER ST,Brick,Stucco,success,yes,no,0.907
1101 E WILT ST,1101 E WILT ST,Brick,Brick,success,yes,yes,0.0
1101-05 E COLUMBIA AVE,1101-05 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.0
1101-19 N FRONT ST,1101-19 N FRONT ST,Metal,Unknown,no_detections,no,,
1102 E HEWSON ST,1102 E HEWSON ST,Brick,Brick,success,yes,yes,0.145
1102 E MONTGOMERY AVE,1102 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1102 E PALMER ST,1102 E PALMER ST,Brick,Stucco,success,yes,no,0.667
1102 E WILT ST,1102 E WILT ST,Brick,Brick,success,yes,yes,0.0
1102 FRANKFORD AVE,1102 FRANKFORD AVE,Brick,Brick,success,yes,yes,0.333
1102 MARLBOROUGH ST,1102 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.333
1103 E BERKS ST,1103 E BERKS ST,Fibercement,Brick,success,yes,no,0.376
1103 E EYRE ST,1103 E EYRE ST,Brick,Decorative stone,success,yes,no,0.615
1103 E HEWSON ST,1103 E HEWSON ST,Brick,Brick,success,yes,yes,0.0
1103 E MONTGOMERY AVE,1103 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1103 E WILT ST,1103 E WILT ST,Brick,Brick,success,yes,yes,0.0
1103 MARLBOROUGH ST,1103 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.333
1103-09 CREASE ST,1103-09 CREASE ST,Brick,Vinyl,success,yes,no,0.5
1104 DUNTON ST,1104 DUNTON ST,Vinyl,Stucco,success,yes,no,1.0
1104 E HEWSON ST,1104 E HEWSON ST,Brick,Brick,success,yes,yes,0.333
1104 E MONTGOMERY AVE,1104 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1104 E OXFORD ST,1104 E OXFORD ST,Fibercement,Stucco,success,yes,no,1.0
1104 E PALMER ST,1104 E PALMER ST,Brick,Stucco,success,yes,no,0.667
1104 E WILT ST,1104 E WILT ST,Brick,Brick,success,yes,yes,0.0
1104 LEOPARD ST,1104 LEOPARD ST,Brick,Brick,success,yes,yes,0.333
1104 MARLBOROUGH ST,1104 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.333
1105 E BERKS ST,1105 E BERKS ST,Brick,Brick,success,yes,yes,0.067
1105 E EYRE ST,1105 E EYRE ST,Brick,Vinyl,success,yes,no,0.5
1105 E HEWSON ST,1105 E HEWSON ST,Brick,Brick,success,yes,yes,0.0
1105 E MONTGOMERY AVE,1105 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1105 E WILT ST,1105 E WILT ST,Brick,Brick,success,yes,yes,0.0
1106 CREASE ST,1106 CREASE ST,Decorative stone,Decorative stone,success,yes,yes,0.154
1106 DUNTON ST,1106 DUNTON ST,Stucco,Stucco,success,yes,yes,0.069
1106 E COLUMBIA AVE,1106 E COLUMBIA AVE,Brick,Fibercement,success,yes,no,1.0
1106 E HEWSON ST,1106 E HEWSON ST,Brick,Brick,success,yes,yes,0.333
1106 E MONTGOMERY AVE,1106 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.333
1106 E OXFORD ST,1106 E OXFORD ST,Brick,Stucco,success,yes,no,1.0
1106 E PALMER ST,1106 E PALMER ST,Brick,Brick,success,yes,yes,0.333
1106 E WILT ST,1106 E WILT ST,Brick,Brick,success,yes,yes,0.0
1106 LEOPARD ST,1106 LEOPARD ST,Brick,Brick,success,yes,yes,0.0
1106 MARLBOROUGH ST,1106 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.333
1107 DAY ST,1107 DAY ST,Brick,Brick,success,yes,yes,0.0
1107 E BERKS ST,1107 E BERKS ST,Fibercement,Brick,success,yes,no,0.667
1107 E COLUMBIA AVE,1107 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.333
1107 E EYRE ST,1107 E EYRE ST,Brick,Brick,success,yes,yes,0.5
1107 E HEWSON ST,1107 E HEWSON ST,Brick,Brick,success,yes,yes,0.0
1107 E MONTGOMERY AVE,1107 E MONTGOMERY AVE,Brick,Unknown,no_materials_found,no,,
1107 E OXFORD ST,1107 E OXFORD ST,Fibercement,Stucco,success,yes,no,1.0
1107 E PALMER ST,1107 E PALMER ST,Brick,Brick,success,yes,yes,0.142
1107 E WILT ST,1107 E WILT ST,Brick,Brick,success,yes,yes,0.0
1107 EARL ST,1107 EARL ST,Stucco,Stucco,success,yes,yes,0.0
1107 MARLBOROUGH ST,1107 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1107 N LEE ST,1107 N LEE ST,Metal,Unknown,no_detections,no,,
1108 CREASE ST,1108 CREASE ST,Decorative stone,Decorative stone,success,yes,yes,0.261
1108 DUNTON ST,1108 DUNTON ST,Stucco,Stucco,success,yes,yes,0.208
1108 E COLUMBIA AVE,1108 E COLUMBIA AVE,Brick,Stucco,success,yes,no,0.206
1108 E EYRE ST,1108 E EYRE ST,Brick,Stucco,success,yes,no,1.0
1108 E HEWSON ST,1108 E HEWSON ST,Fibercement,Stucco,success,yes,no,0.772
1108 E MONTGOMERY AVE,1108 E MONTGOMERY AVE,Brick,Unknown,no_materials_found,no,,
1108 E OXFORD ST,1108 E OXFORD ST,Fibercement,Stucco,success,yes,no,1.0
1108 E PALMER ST,1108 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1108 E WILT ST,1108 E WILT ST,Brick,Brick,success,yes,yes,0.0
1108 EARL ST,1108 EARL ST,Brick,Brick,success,yes,yes,0.208
1108 LEOPARD ST,1108 LEOPARD ST,Brick,Stucco,success,yes,no,0.5
1108 MARLBOROUGH ST,1108 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1108-12 FRANKFORD AVE,1108-12 FRANKFORD AVE,Brick,Brick,success,yes,yes,0.0
1109 DAY ST,1109 DAY ST,Brick,Brick,success,yes,yes,0.0
1109 DUNTON ST,1109 DUNTON ST,Stucco,Brick,success,yes,no,1.0
1109 E BERKS ST,1109 E BERKS ST,Brick,Brick,success,yes,yes,0.5
1109 E MONTGOMERY AVE,1109 E MONTGOMERY AVE,Brick,Unknown,no_materials_found,no,,
1109 E OXFORD ST,1109 E OXFORD ST,Fibercement,Stucco,success,yes,no,1.0
1109 E PALMER ST,1109 E PALMER ST,Brick,Brick,success,yes,yes,0.086
1109 E WILT ST,1109 E WILT ST,Brick,Brick,success,yes,yes,0.0
1109 EARL ST,1109 EARL ST,Brick,Vinyl,success,yes,no,1.0
1109 MARLBOROUGH ST,1109 MARLBOROUGH ST,Vinyl,Brick,success,yes,no,0.592
1109 N LEE ST,1109 N LEE ST,Metal,Unknown,no_detections,no,,
1109 SHACKAMAXON ST,1109 SHACKAMAXON ST,Vinyl,Vinyl,success,yes,yes,0.297
1109-11 E EYRE ST,1109-11 E EYRE ST,Brick,Brick,success,yes,yes,0.333
111 E GIRARD AVE,111 E GIRARD AVE,Brick,Brick,success,yes,yes,0.304
1110 CREASE ST,1110 CREASE ST,Brick,Decorative stone,success,yes,no,0.78
1110 DUNTON ST,1110 DUNTON ST,Fibercement,Brick,success,yes,no,0.625
1110 E COLUMBIA AVE,1110 E COLUMBIA AVE,Stucco,Stucco,success,yes,yes,0.333
1110 E EYRE ST,1110 E EYRE ST,Stucco,Stucco,success,yes,yes,0.333
1110 E HEWSON ST,1110 E HEWSON ST,Fibercement,Stucco,success,yes,no,0.569
1110 E MONTGOMERY AVE,1110 E MONTGOMERY AVE,Brick,Unknown,no_materials_found,no,,
1110 E OXFORD ST,1110 E OXFORD ST,Stucco,Stucco,success,yes,yes,0.112
1110 E PALMER ST,1110 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1110 E WILT ST,1110 E WILT ST,Brick,Brick,success,yes,yes,0.0
1110 EARL ST,1110 EARL ST,Brick,Brick,success,yes,yes,0.333
1110 LEOPARD ST,1110 LEOPARD ST,Brick,Stucco,success,yes,no,0.5
1110 MARLBOROUGH ST,1110 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1111 CREASE ST,1111 CREASE ST,Brick,Brick,success,yes,yes,0.0
1111 DAY ST,1111 DAY ST,Brick,Brick,success,yes,yes,0.0
1111 E BERKS ST,1111 E BERKS ST,Brick,Brick,success,yes,yes,0.333
1111 E MONTGOMERY AVE,1111 E MONTGOMERY AVE,Brick,Unknown,no_materials_found,no,,
1111 E OXFORD ST,1111 E OXFORD ST,Stucco,Stucco,success,yes,yes,0.112
1111 E WILT ST,1111 E WILT ST,Brick,Brick,success,yes,yes,0.0
1111 EARL ST,1111 EARL ST,Stucco,Stucco,success,yes,yes,0.0
1111 MARLBOROUGH ST,1111 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1111 N LEE ST,1111 N LEE ST,Metal,Brick,success,yes,no,1.0
1111 SHACKAMAXON ST,1111 SHACKAMAXON ST,Brick,Vinyl,success,yes,no,1.0
1112 CREASE ST,1112 CREASE ST,Brick,Stucco,success,yes,no,0.348
1112 DUNTON ST,1112 DUNTON ST,Metal,Fibercement,success,yes,no,1.0
1112 E COLUMBIA AVE,1112 E COLUMBIA AVE,Stucco,Decorative stone,success,yes,no,1.0
1112 E EYRE ST,1112 E EYRE ST,Brick,Stucco,success,yes,no,0.5
1112 E HEWSON ST,1112 E HEWSON ST,Vinyl,Stucco,success,yes,no,1.0
1112 E MONTGOMERY AVE,1112 E MONTGOMERY AVE,Brick,Unknown,no_materials_found,no,,
1112 E PALMER ST,1112 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1112 E WILT ST,1112 E WILT ST,Brick,Brick,success,yes,yes,0.0
1112 EARL ST,1112 EARL ST,Stucco,Stucco,success,yes,yes,0.0
1112 LEOPARD ST,1112 LEOPARD ST,Brick,Brick,success,yes,yes,0.0
1112 MARLBOROUGH ST,1112 MARLBOROUGH ST,Brick,Vinyl,success,yes,no,1.0
1112-14 E OXFORD ST,1112-14 E OXFORD ST,Brick,Brick,success,yes,yes,0.5
1113 DAY ST,1113 DAY ST,Brick,Brick,success,yes,yes,0.0
1113 E BERKS ST,1113 E BERKS ST,Fibercement,Brick,success,yes,no,0.667
1113 E COLUMBIA AVE,1113 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.333
1113 E EYRE ST,1113 E EYRE ST,Brick,Brick,success,yes,yes,0.333
1113 E MONTGOMERY AVE,1113 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1113 E OXFORD ST,1113 E OXFORD ST,Stucco,Stucco,success,yes,yes,0.109
1113 E SUSQUEHANNA AVE,1113 E SUSQUEHANNA AVE,Stucco,Brick,success,yes,no,1.0
1113 E WILT ST,1113 E WILT ST,Brick,Brick,success,yes,yes,0.0
1113 MARLBOROUGH ST,1113 MARLBOROUGH ST,Stucco,Stucco,success,yes,yes,0.333
1113 N LEE ST,1113 N LEE ST,Metal,Brick,success,yes,no,1.0
1113 SHACKAMAXON ST,1113 SHACKAMAXON ST,Brick,Stucco,success,yes,no,0.667
1114 CREASE ST,1114 CREASE ST,Brick,Brick,success,yes,yes,0.333
1114 DUNTON ST,1114 DUNTON ST,Brick,Brick,success,yes,yes,0.333
1114 E COLUMBIA AVE,1114 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.0
1114 E EYRE ST,1114 E EYRE ST,Brick,Vinyl,success,yes,no,1.0
1114 E HEWSON ST,1114 E HEWSON ST,Brick,Brick,success,yes,yes,0.0
1114 E MONTGOMERY AVE,1114 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1114 E PALMER ST,1114 E PALMER ST,Brick,Stucco,success,yes,no,0.718
1114 E WILT ST,1114 E WILT ST,Brick,Brick,success,yes,yes,0.0
1114 EARL ST,1114 EARL ST,Vinyl,Vinyl,success,yes,yes,0.0
1114 FRANKFORD AVE,1114 FRANKFORD AVE,Brick,Brick,success,yes,yes,0.333
1114 LEOPARD ST,1114 LEOPARD ST,Brick,Brick,success,yes,yes,0.0
1114 MARLBOROUGH ST,1114 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1115 CREASE ST,1115 CREASE ST,Brick,Brick,success,yes,yes,0.333
1115 DAY ST,1115 DAY ST,Brick,Brick,success,yes,yes,0.0
1115 E COLUMBIA AVE,1115 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.0
1115 E EYRE ST,1115 E EYRE ST,Brick,Brick,success,yes,yes,0.0
1115 E HEWSON ST,1115 E HEWSON ST,Brick,Brick,success,yes,yes,0.0
1115 E MONTGOMERY AVE,1115 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1115 E OXFORD ST,1115 E OXFORD ST,Stucco,Stucco,success,yes,yes,0.112
1115 E SUSQUEHANNA AVE,1115 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.25
1115 E WILT ST,1115 E WILT ST,Brick,Brick,success,yes,yes,0.0
1115 EARL ST,1115 EARL ST,Vinyl,Vinyl,success,yes,yes,0.333
1115 MARLBOROUGH ST,1115 MARLBOROUGH ST,Stucco,Stucco,success,yes,yes,0.333
1115 N LEE ST,1115 N LEE ST,Fibercement,Stucco,success,yes,no,1.0
1115 SHACKAMAXON ST,1115 SHACKAMAXON ST,Stucco,Vinyl,success,yes,no,0.61
1116 CREASE ST,1116 CREASE ST,Brick,Brick,success,yes,yes,0.0
1116 DAY ST,1116 DAY ST,Brick,Brick,success,yes,yes,0.17
1116 DUNTON ST,1116 DUNTON ST,Brick,Brick,success,yes,yes,0.096
1116 E COLUMBIA AVE,1116 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.5
1116 E EYRE ST,1116 E EYRE ST,Brick,Brick,success,yes,yes,0.0
1116 E HEWSON ST,1116 E HEWSON ST,Brick,Brick,success,yes,yes,0.185
1116 E MONTGOMERY AVE,1116 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1116 E OXFORD ST,1116 E OXFORD ST,Brick,Brick,success,yes,yes,0.5
1116 E PALMER ST,1116 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1116 E SUSQUEHANNA AVE,1116 E SUSQUEHANNA AVE,Brick,Brick,success,yes,yes,0.0
1116 E WILT ST,1116 E WILT ST,Brick,Brick,success,yes,yes,0.0
1116 EARL ST,1116 EARL ST,Vinyl,Vinyl,success,yes,yes,0.333
1116 LEOPARD ST,1116 LEOPARD ST,Brick,Brick,success,yes,yes,0.0
1116 MARLBOROUGH ST,1116 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1117 CREASE ST,1117 CREASE ST,Brick,Brick,success,yes,yes,0.333
1117 DAY ST,1117 DAY ST,Brick,Brick,success,yes,yes,0.0
1117 E BERKS ST,1117 E BERKS ST,Brick,Fibercement,success,yes,no,1.0
1117 E COLUMBIA AVE,1117 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.0
1117 E EYRE ST,1117 E EYRE ST,Brick,Brick,success,yes,yes,0.0
1117 E MONTGOMERY AVE,1117 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1117 E PALMER ST,1117 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1117 E WILT ST,1117 E WILT ST,Brick,Brick,success,yes,yes,0.333
1117 EARL ST,1117 EARL ST,Vinyl,Vinyl,success,yes,yes,0.333
1117 MARLBOROUGH ST,1117 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1117 N LEE ST,1117 N LEE ST,Metal,Stucco,success,yes,no,1.0
1117 SHACKAMAXON ST,1117 SHACKAMAXON ST,Brick,Brick,success,yes,yes,0.3325
1117-19 E SUSQUEHANNA AVE,1117-19 E SUSQUEHANNA AVE,Stucco,Stucco,success,yes,yes,0.0
1118 CREASE ST,1118 CREASE ST,Brick,Brick,success,yes,yes,0.0
1118 DAY ST,1118 DAY ST,Brick,Brick,success,yes,yes,0.116
1118 DUNTON ST,1118 DUNTON ST,Brick,Brick,success,yes,yes,0.0
1118 E COLUMBIA AVE,1118 E COLUMBIA AVE,Stucco,Brick,success,yes,no,1.0
1118 E EYRE ST,1118 E EYRE ST,Brick,Vinyl,success,yes,no,0.667
1118 E HEWSON ST,1118 E HEWSON ST,Aluminum Composite,Aluminum Composite,success,yes,yes,0.333
1118 E MONTGOMERY AVE,1118 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1118 E OXFORD ST,1118 E OXFORD ST,Brick,Brick,success,yes,yes,0.333
1118 E PALMER ST,1118 E PALMER ST,Brick,Unknown,no_materials_found,no,,
1118 E WILT ST,1118 E WILT ST,Brick,Brick,success,yes,yes,0.361
1118 LEOPARD ST,1118 LEOPARD ST,Brick,Brick,success,yes,yes,0.0
1118 MARLBOROUGH ST,1118 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1119 12 E OXFORD ST,1119 12 E OXFORD ST,Decorative stone,Vinyl,success,yes,no,1.0
1119 CREASE ST,1119 CREASE ST,Brick,Brick,success,yes,yes,0.333
1119 DAY ST,1119 DAY ST,Brick,Brick,success,yes,yes,0.0
1119 E BERKS ST,1119 E BERKS ST,Brick,Fibercement,success,yes,no,1.0
1119 E COLUMBIA AVE,1119 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.333
1119 E EYRE ST,1119 E EYRE ST,Brick,Brick,success,yes,yes,0.0
1119 E MONTGOMERY AVE,1119 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1119 E OXFORD ST,1119 E OXFORD ST,Brick,Brick,success,yes,yes,0.0
1119 E PALMER ST,1119 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1119 E WILT ST,1119 E WILT ST,Brick,Brick,success,yes,yes,0.333
1119 EARL ST,1119 EARL ST,Metal,Stucco,success,yes,no,1.0
1119 LEOPARD ST,1119 LEOPARD ST,Stucco,Stucco,success,yes,yes,0.333
1119 MARLBOROUGH ST,1119 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.0
1119 N LEE ST,1119 N LEE ST,Fibercement,Stucco,success,yes,no,1.0
1119 SHACKAMAXON ST,1119 SHACKAMAXON ST,Brick,Brick,success,yes,yes,0.333
112 E GIRARD AVE,112 E GIRARD AVE,Brick,Fibercement,success,yes,no,1.0
112 RICHMOND ST,112 RICHMOND ST,Brick,Stucco,success,yes,no,0.667
1120 CREASE ST,1120 CREASE ST,Brick,Decorative stone,success,yes,no,0.5
